Class 1,Term 1,Similarity,Class 2,Term 2,Comment,Reasoning,Factors
37,Home construction services,3,37,Commercial building construction,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
37,Home construction services,3,37,Building of multistorey car parks,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
37,Home construction services,3,37,Building of commercial properties,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
16,Packaging materials based on cellulose,3,16,Plastic materials for packaging not included in other classes,"The contested plastic materials for packaging (not included in other classes) are similar to the opponent’s goods of paper, cardboard and cellulose fleece, namely packaging materials based on cellulose, as they have the same purpose, and they can coincide in end users and distribution channels. Moreover, they are in competition.","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 3, 5, 6, 7]"
9,Mobile phone software,3,9,"Computer software, recorded",,"['1. Nature', '2. Purpose', '5. Goods / services in competition', '7. Relevant public', '8. Producer / Provider']","[1, 2, 5, 7, 8]"
36,Investment funds,3,36,Valuation services,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
41,Publication of printed material,3,41,Non downloadable online publication,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
41,Publication of printed material,3,41,Electronic publications nondownloadable,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
18,Bags made of leather and imitations of leather,3,18,Travelling trunks,,"['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
18,Wallets made of leather and imitations of leather,3,18,Business card cases,,"['1. Nature', '2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 5, 6, 7, 8]"
8,Handoperated professional choppers,3,21,Nonelectric food mixers,"Nonelectric food mixers are non-electric kitchen appliances that may be used for different types of food processing such as mixing, cutting, crushing, grinding or chopping food into smaller pieces. They may have the same purpose as hand-operated professional choppers in Class 8, which can also be non-electric food preparation implements. Furthermore, these goods coincide in target publics and distribution channels and they can be in competition with each other. It cannot be completely ruled out that the public might assume that the goods are produced by the same manufacturers of kitchen appliances. Therefore, these goods are similar.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
5,Sanitary preparations,3,5,Veterinary preparations,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
19,Building materials nonmetallic,3,6,Building and construction materials and elements of metal,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
32,Nonalcoholic beverages,3,32,Flavored beers,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
36,Real estate investment consulting,3,36,Real estate financing,The contested real estate financing are similar to a high degree to the opponent’s real estate investment consulting since all these services have the same financial nature and they are provided by the same financial entities to the same consumers.,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 4, 6, 7, 8]"
12,Tyres,3,12,Bicycle wheels,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[4, 6, 7]"
30,"Food flavourings, other than essential oils",3,30,Syrups and treacles,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
18,Animal skins,3,18,Faux fur,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
18,Animal skins,3,18,Imitation leather,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
31,Fodder,3,31,Meal for animals,"Meal for animal is not to be confused with fodder for animals. These goods are protein additives for animals consisting of e.g. bone meal, blood meal, poultry by-product meal and feather meal. Consequently, they are complementary to fodder which are included in agricultural products.","['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
31,Animal foodstuffs,3,31,Meal for animals,"Meal for animal is not to be confused with foodstuffs for animals. These goods are protein additives for animals consisting of e.g. bone meal, blood meal, poultry by-product meal and feather meal. Consequently, they are complementary to animal foodstuffs which are included in agricultural products.","['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
30,Spices,3,30,Mustard,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Confectionery,3,30,Ice cream,"Edible ices refer to ice cream, ice lollies etc., whereas ice confectionery, confectionery ices etc. are preparations that can contain ice cream for example, but as such are considered to be confectionery, only in frozen form. These goods coincide in purpose and are in competition with each other. They are directed at the same public who look for them in the same channels of distribution. Furthermore, they can originate from the same producers.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Confectionery,3,30,Edible ices,"Edible ices refer to ice cream, ice lollies etc., whereas ice confectionery, confectionery ices etc. are preparations that can contain ice cream for example, but as such are considered to be confectionery, only in frozen form. These goods coincide in purpose and are in competition with each other. They are directed at the same public who look for them in the same channels of distribution. Furthermore, they can originate from the same producers.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Confectionery,3,30,Ice cream desserts,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Confectionery,3,30,Fruit ices,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Confectionery,3,30,Yoghurt based ice cream [ice cream predominating],,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Confectionery,3,30,Dairy ice cream,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Confectionery,3,30,Flavored ices,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
28,Toys,3,28,Swings,"Swings are games that are often found at playgrounds for children. Swings and toys have a similar nature and general purpose. In addition, they come from the same undertakings and are sold through the same distribution channels. Finally they target the same public.","['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
28,Toys,3,28,Chessboards,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public']","[1, 2, 6, 7]"
9,Wearable activity trackers,3,9,Computers,,"['3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 6, 7, 8]"
9,Mobile telephones,3,9,Smartwatches,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
9,Mobile telephones,3,9,Wearable activity trackers,,"['3. Methods of use', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 4, 6, 7, 8]"
3,Cleaning preparations,3,3,Bleaching preparations,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
34,"Flavourings, other than essential oils, for use in electronic cigarettes",3,34,"Flavourings, other than essential oils, for tobacco",They have the same nature. They have the same purpose. They coincide in distribution channels. They coincide in end user. They coincide in producer.,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
36,Investment services,3,36,Financial evaluation and analysis,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
36,Investment services,3,36,Valuation of portfolios of securities,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
36,Investment services,3,36,Business appraisals for financial valuation,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
43,Services for providing food and drink,3,43,Food sculpting,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
30,Cakes,3,30,Cake powder,"Cake powder consists of, or at least includes, ready cake mixes that may require little additional preparation, such as the simple addition of milk. Therefore, cake powder and cakes, apart from having the same purpose can also be in competition. Furthermore, these goods target the same relevant public, can share the same distribution channels and can originate from the same producers. Therefore, these goods are highly similar.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Pastries,3,30,Pancakes,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Pastries,3,30,Waffles,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Pastries,3,30,Doughnuts,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Pastries,3,30,Filled bread rolls,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Pastries,3,30,Rusks,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
5,Fungicides,3,5,Preparations for destroying vermin,"Fungicides are toxic substances used to kill or inhibit the growth of fungi. Vermin destroying preparations are used against small animals, such as insects and rodents, that are troublesome to humans, domestic animals, etc. These categories of goods serve a similar purpose and usually originate from the same type of producers. They are sold through the same channels of distribution, at the same time satisfying the needs of the same relevant public.","['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
5,Fungicides,3,5,Insecticides,"Fungicides are toxic substances used to kill or inhibit the growth of fungi. Insecticides are toxic substances used to kill insects, and they are used primarily to control pests that infest cultivated plants or to eliminate disease-carrying insects in specific areas. These categories of goods serve a similar purpose and usually originate from the same type of producers. They are sold through the same channels of distribution, at the same time satisfying the needs of the same relevant public.","['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
5,Fungicides,3,5,Sanitary preparations for medical purposes,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
5,Fungicides,3,5,Herbicides,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
18,Rucksacks,3,18,Hipsacks,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
18,Rucksacks,3,18,Bumbags,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
18,Rucksacks,3,18,Shoulder bags,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
18,Rucksacks,3,18,All-purpose athletic bags,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
6,Tanks of metal,3,19,Liquid storage tanks [structures] made of masonary or wood,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
9,Data processing apparatus,3,9,Magnetic data media,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
42,Installing computer programs,3,42,Maintenance of computer programs,,"['1. Nature', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 6, 7, 8]"
29,Black pudding,3,29,Poultry,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
25,Pants,3,25,Gloves [clothing],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
25,Pants,3,25,Shawls,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
25,Pants,3,25,Stuff jackets [clothing],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
25,Pants,3,25,Tops [clothing],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
25,Pants,3,25,Belts [clothing],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
25,Pants,3,25,Roll necks [clothing],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
25,Pants,3,25,Quilted jackets [clothing],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
25,Pants,3,25,Jackets [clothing],,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
3,Toilet water,3,3,Aromatic extracts,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
14,Watches,3,14,Jewellery,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
14,Watches,3,14,Amulets [jewellery],By analogy 0058525-0057824 jewellery/time instruments,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
14,Watches,3,14,Cuff links,By analogy 0058525-0057824 jewellery/time instruments,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
14,Watches,3,14,Badges of precious metal,By analogy 0058525-0057824 jewellery/time instruments,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
42,Maintenance of computer software,3,42,Installation of computer software,,"['1. Nature', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 6, 7, 8]"
18,Purses,3,18,Pocket wallets,"A purse is a small bag or pouch, often made of soft leather, for carrying money, especially coins. Pocket wallets are used for money, cards and documents. Clearly, these goods serve the same purpose. Furthermore, they are often manufactured by the same undertakings, are directed at the same public which looks for them in the same specialised shops or departments in stores dealing in leather goods.","['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
18,Travelling bags,3,18,Rucksacks,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
18,Travelling bags,3,18,Travelling trunks,,"['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
18,Travelling bags,3,18,Vanity cases sold empty,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
18,Travelling bags,3,18,Bags for sports,"Travelling bags are basically suitcases, and so do not cover bags for sports","['1. Nature', '3. Methods of use', '6. Distribution channels', '8. Producer / Provider']","[1, 3, 6, 8]"
18,Travelling bags,3,18,Toiletry bags,,"['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
14,Precious stones,3,14,Imitations thereof gemstones pearls,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 3, 5, 6, 7]"
14,Precious stones,3,14,Pearl,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
39,Arranging of transportation for travel tours,3,39,Transport services,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[2, 4, 6, 7]"
11,Lighting installations,3,11,Lampshades,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
12,Vehicle wheels,3,12,Transmission belts for land vehicles,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
14,Jewellery,3,14,Time instruments,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
14,Jewellery,3,14,Chronometric instruments,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
9,Batteries for vehicles,3,9,Battery chargers,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
